KalenderAar;ArligUtslippLuftTotalt;ArligUtslippVannTotalt;ArligUtslippJordTotalt;StandardEnhet;GrunnlagVerdi;IR;GrunnlagVerdiVann;GrunnlagVerdiLuft;MiljodataTotalEmissionToAir;TotaltLokalitet;
2004;44066,9422420000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2005;43233,3046830000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2006;43627,1642280000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2007;45463,8514010000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2008;44476,1288820000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2009;42898,8465040000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2010;45537,2721320000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2011;44571,6867750000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2012;44101,2334540000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
